"titleType","genres","startYear","weightedRating","totalVotes"
"videoGame","Action","1998",3.3,58
"videoGame","Action","2000",6.9,32
"videoGame","Action","2004",6.48333333333333,60
"videoGame","Action","2005",6.38774509803922,204
"videoGame","Action","2007",6.69152542372881,236
"videoGame","Action","2008",6.82579617834395,942
"videoGame","Action","2009",6.5,92
"videoGame","Action","2010",8.2283185840708,113
"videoGame","Action","2011",4.6,11
"videoGame","Action","2014",6.44969325153374,163
"videoGame","Action","2015",7,9
"videoGame","Action","2018",1.7,20
"videoGame","Action,Adventure","2005",7.1627027027027,185
"videoGame","Action,Adventure","2009",6.8,72
"videoGame","Action,Adventure","2010",4.7,259
"videoGame","Action,Adventure","2017",6.9,7
"videoGame","Action,Adventure","2021",8.1,779
"videoGame","Action,Adventure,Animation","1995",7.5,655
"videoGame","Action,Adventure,Animation","2004",5.82763466042155,427
"videoGame","Action,Adventure,Animation","2010",6.3,117
"videoGame","Action,Adventure,Animation","2011",7.6,61
"videoGame","Action,Adventure,Comedy","1985",7.2,27
"videoGame","Action,Adventure,Comedy","1998",7.4,241
"videoGame","Action,Adventure,Comedy","2000",6.9,417
"videoGame","Action,Adventure,Comedy","2001",7.7,1400
"videoGame","Action,Adventure,Comedy","2007",8.55630802839978,3662
"videoGame","Action,Adventure,Comedy","2008",7.8,1890
"videoGame","Action,Adventure,Comedy","2011",8.1,5732
"videoGame","Action,Adventure,Comedy","2013",7.8,3898
"videoGame","Action,Adventure,Comedy","2017",6.2,191
"videoGame","Action,Adventure,Crime","2006",5.2,19
"videoGame","Action,Adventure,Crime","2014",5.6,1133
"videoGame","Action,Adventure,Drama","1998",9.6,11333
"videoGame","Action,Adventure,Drama","1999",9.2,349
"videoGame","Action,Adventure,Drama","2001",9,8263
"videoGame","Action,Adventure,Drama","2002",9,2087
"videoGame","Action,Adventure,Drama","2004",9.5,10107
"videoGame","Action,Adventure,Drama","2005",9.23895184135977,2824
"videoGame","Action,Adventure,Drama","2006",7.2,3692
"videoGame","Action,Adventure,Drama","2008",9.4,10353
"videoGame","Action,Adventure,Drama","2010",8.49244926852289,2119
"videoGame","Action,Adventure,Drama","2014",7.7,2699
"videoGame","Action,Adventure,Drama","2016",8.6,16
"videoGame","Action,Adventure,Drama","2019",8.9,6963
"videoGame","Action,Adventure,Drama","2021",9,77
"videoGame","Action,Adventure,Family","1998",7.7,89
"videoGame","Action,Adventure,Family","2001",7.41913319238901,946
"videoGame","Action,Adventure,Family","2003",7.2,70
"videoGame","Action,Adventure,Family","2004",7.2,40
"videoGame","Action,Adventure,Family","2005",7.00333988212181,509
"videoGame","Action,Adventure,Family","2006",7.3,135
"videoGame","Action,Adventure,Family","2007",7.4,169
"videoGame","Action,Adventure,Family","2008",6.8,303
"videoGame","Action,Adventure,Family","2011",7.69348079161816,1718
"videoGame","Action,Adventure,Family","2013",7,51
"videoGame","Action,Adventure,Fantasy","1999",8.30733944954128,109
"videoGame","Action,Adventure,Fantasy","2000",7.1,144
"videoGame","Action,Adventure,Fantasy","2001",7.9,97
"videoGame","Action,Adventure,Fantasy","2005",8.5,77
"videoGame","Action,Adventure,Fantasy","2006",8.4,959
"videoGame","Action,Adventure,Fantasy","2007",8.2,206
"videoGame","Action,Adventure,Fantasy","2008",7.75459770114943,4350
"videoGame","Action,Adventure,Fantasy","2009",6,1400
"videoGame","Action,Adventure,Fantasy","2010",6.01964285714286,280
"videoGame","Action,Adventure,Fantasy","2011",7.77998436278342,1279
"videoGame","Action,Adventure,Fantasy","2012",7.3854297097325,3514
"videoGame","Action,Adventure,Fantasy","2013",8.2,3026
"videoGame","Action,Adventure,Horror","1994",5.7,85
"videoGame","Action,Adventure,Sci-Fi","1987",8,1229
"videoGame","Action,Adventure,Sci-Fi","1990",8.4,1077
"videoGame","Action,Adventure,Sci-Fi","1996",7.3810650887574,338
"videoGame","Action,Adventure,Sci-Fi","1999",8,455
"videoGame","Action,Adventure,Sci-Fi","2003",8.3,283
"videoGame","Action,Adventure,Sci-Fi","2007",5.7,974
"videoGame","Action,Adventure,Sci-Fi","2013",6.6,71
"videoGame","Action,Adventure,Sci-Fi","2014",7.1,25
"videoGame","Action,Adventure,Sci-Fi","2015",7.9,1161
"videoGame","Action,Adventure,Thriller","2000",6.6,97
"videoGame","Action,Adventure,Thriller","2004",6.9,29
"videoGame","Action,Adventure,War","2003",8.5,6549
"videoGame","Action,Adventure,War","2009",5.9,83
"videoGame","Action,Animation","2015",8.1,9
"videoGame","Action,Comedy,Crime","1994",6.3,12
"videoGame","Action,Comedy,Family","2000",6.1,78
"videoGame","Action,Comedy,Fantasy","1999",7.7,23
"videoGame","Action,Crime,Drama","2006",7.6,2040
"videoGame","Action,Crime,Drama","2008",8.1,3088
"videoGame","Action,Crime,Mystery","1994",8.9,128
"videoGame","Action,Crime,Sport","2003",7.4,259
"videoGame","Action,Family","1999",7.5,2065
"videoGame","Action,Family","2006",7.2,45
"videoGame","Action,Family,Fantasy","2004",7,23
"videoGame","Action,Fantasy","2009",7.3,296
"videoGame","Action,Fantasy","2015",8,46
"videoGame","Action,Horror,Sci-Fi","2014",7.5,27
"videoGame","Action,Sci-Fi","1995",7.5,18
"videoGame","Action,Sci-Fi","1999",7.6,114
"videoGame","Action,Sci-Fi","2002",7.5,21
"videoGame","Action,Sci-Fi","2003",8,29
"videoGame","Action,Sci-Fi","2012",8.1,2264
"videoGame","Action,Sci-Fi,Sport","2000",6.7,8
"videoGame","Action,Sci-Fi,Western","1993",6.9,75
"videoGame","Action,War","2011",9,56
"videoGame","Adventure","2005",5.70478011472275,523
"videoGame","Adventure","2007",4.8,13
"videoGame","Adventure","2009",7.3,16
"videoGame","Adventure","2012",6.9,102
"videoGame","Adventure","2013",6.1,42
"videoGame","Adventure","2015",6.2,96
"videoGame","Adventure","2017",7.4,5
"videoGame","Adventure,Animation","2000",7.6,187
"videoGame","Adventure,Animation,Comedy","2002",7.5,23
"videoGame","Adventure,Comedy","1993",6.5,19
"videoGame","Adventure,Comedy","1996",8.7,339
"videoGame","Adventure,Comedy","2003",6.2,16
"videoGame","Adventure,Comedy","2007",8,49
"videoGame","Adventure,Comedy","2014",7.1639175257732,97
"videoGame","Adventure,Comedy,Family","1998",6.7,683
"videoGame","Adventure,Comedy,Horror","2014",6.6,34
"videoGame","Adventure,Crime,Fantasy","2001",8.3,7
"videoGame","Adventure,Crime,Mystery","1993",7,137
"videoGame","Adventure,Drama,Fantasy","2002",7.2,246
"videoGame","Adventure,Drama,Thriller","2019",6.9,908
"videoGame","Adventure,Family","2001",4.9,29
"videoGame","Adventure,Family","2002",5.4,43
"videoGame","Adventure,Family,Fantasy","2008",8.6,49
"videoGame","Adventure,Fantasy","2004",8.3,122
"videoGame","Adventure,Fantasy,Mystery","1996",8.3,97
"videoGame","Adventure,Horror","2014",7.2,32
"videoGame","Adventure,Sci-Fi","1995",8.3,70
"videoGame","Adventure,Sci-Fi","2005",6.8,182
"videoGame","Adventure,Sci-Fi,Thriller","1990",6.4,28
"videoGame","Animation","2012",7.2,16
"videoGame","Animation","2013",7.6,5
"videoGame","Animation,Comedy","1998",7.5,82
"videoGame","Animation,Sci-Fi","2001",6.6,134
"videoGame","Animation,Sport","2005",2.1,99
"videoGame","Comedy","1995",7.5,105
"videoGame","Comedy","2009",6.7,69
"videoGame","Comedy","2021",7.8,6
"videoGame","Comedy,Family,Musical","1999",8.2,13
"videoGame","Comedy,Fantasy","2019",2,9
"videoGame","Comedy,Game-Show","2005",8.6,28
"videoGame","Comedy,Game-Show","2007",7.6,11
"videoGame","Family","1996",5.9,293
"videoGame","Family","2003",1.6,67
"videoGame","Family,Music","2005",7.9,979
"videoGame","Fantasy","2000",3.6,61
"videoGame","Fantasy","2004",7.2,26
"videoGame","Fantasy","2006",4.92065217391304,184
"videoGame","Fantasy","2007",6.75245901639344,183
"videoGame","Fantasy","2008",7.7,173
"videoGame","Game-Show","2006",4,22
"videoGame","Game-Show","2008",4.5,12
"videoGame","Game-Show","2010",5.6,19
"videoGame","Horror","2009",6.8,84
"videoGame","Horror","2012",5.5,22
"videoGame","Horror","2015",6.7,8
"videoGame","Horror","2017",8.2,17
"videoGame","Horror,Thriller","2012",5.1,24
"videoGame","Horror,Thriller","2013",5.8,30
"videoGame","Music","2009",6.8,68
"videoGame","Mystery","2005",8,250
"videoGame","Sci-Fi","2003",7,65
"videoGame","Sci-Fi","2006",6,8
"videoGame","Sci-Fi","2007",7.7,38
"videoGame","Sci-Fi","2015",6,37
"videoGame","Sport","2004",7.9,63
"videoGame","Sport","2006",6.5,43
"videoGame","Sport","2007",8.1,39
"videoGame","Sport","2009",7.8,8
"videoGame","Sport","2011",6.6,37
"videoGame","Sport","2015",6.8,685
"videoGame","Thriller","2012",5.4,10
"videoGame","Western","1996",7.8,6
